,광역시도,시군,pop,moon,hong,ahn
85,대전광역시,서울특별시,6590646,2781345.0,1365285.0,1492767.0
86,대전광역시,부산광역시,2261633,872127.0,720484.0,378907.0
87,대전광역시,대구광역시,1581347,342620.0,714205.0,235757.0
88,대전광역시,인천광역시,1820091,747090.0,379191.0,428888.0
89,대전광역시,광주광역시,957321,583847.0,14882.0,287222.0
90,대전광역시,대전광역시,945897,404545.0,191376.0,218769.0
91,대전광역시,울산광역시,744960,282794.0,203602.0,128520.0
92,대전광역시,세종특별자치시,152801,77767.0,23211.0,32010.0
93,대전광역시,경기도,7916009,3319812.0,1637345.0,1807308.0
94,대전광역시,강원도,955885,324768.0,284909.0,206840.0
95,대전광역시,충청북도,975441,374806.0,255502.0,211454.0
96,대전광역시,충청남도,1240204,476661.0,306614.0,290216.0
97,대전광역시,전라북도,1205794,778747.0,40231.0,285467.0
98,대전광역시,전라남도,1238738,737921.0,30221.0,378179.0
99,대전광역시,경상북도,1711627,369726.0,827237.0,253905.0
100,대전광역시,경상남도,2135055,779731.0,790491.0,284272.0
101,대전광역시,제주특별자치도,374459,169493.0,68063.0,77861.0
102,울산광역시,서울특별시,6590646,2781345.0,1365285.0,1492767.0
103,울산광역시,부산광역시,2261633,872127.0,720484.0,378907.0
104,울산광역시,대구광역시,1581347,342620.0,714205.0,235757.0
105,울산광역시,인천광역시,1820091,747090.0,379191.0,428888.0
106,울산광역시,광주광역시,957321,583847.0,14882.0,287222.0
107,울산광역시,대전광역시,945897,404545.0,191376.0,218769.0
108,울산광역시,울산광역시,744960,282794.0,203602.0,128520.0
109,울산광역시,세종특별자치시,152801,77767.0,23211.0,32010.0
110,울산광역시,경기도,7916009,3319812.0,1637345.0,1807308.0
111,울산광역시,강원도,955885,324768.0,284909.0,206840.0
112,울산광역시,충청북도,975441,374806.0,255502.0,211454.0
113,울산광역시,충청남도,1240204,476661.0,306614.0,290216.0
114,울산광역시,전라북도,1205794,778747.0,40231.0,285467.0
115,울산광역시,전라남도,1238738,737921.0,30221.0,378179.0
116,울산광역시,경상북도,1711627,369726.0,827237.0,253905.0
117,울산광역시,경상남도,2135055,779731.0,790491.0,284272.0
118,울산광역시,제주특별자치도,374459,169493.0,68063.0,77861.0
119,세종특별자치시,서울특별시,6590646,2781345.0,1365285.0,1492767.0
120,세종특별자치시,부산광역시,2261633,872127.0,720484.0,378907.0
121,세종특별자치시,대구광역시,1581347,342620.0,714205.0,235757.0
122,세종특별자치시,인천광역시,1820091,747090.0,379191.0,428888.0
123,세종특별자치시,광주광역시,957321,583847.0,14882.0,287222.0
124,세종특별자치시,대전광역시,945897,404545.0,191376.0,218769.0
125,세종특별자치시,울산광역시,744960,282794.0,203602.0,128520.0
126,세종특별자치시,세종특별자치시,152801,77767.0,23211.0,32010.0
127,세종특별자치시,경기도,7916009,3319812.0,1637345.0,1807308.0
128,세종특별자치시,강원도,955885,324768.0,284909.0,206840.0
129,세종특별자치시,충청북도,975441,374806.0,255502.0,211454.0
130,세종특별자치시,충청남도,1240204,476661.0,306614.0,290216.0
131,세종특별자치시,전라북도,1205794,778747.0,40231.0,285467.0
132,세종특별자치시,전라남도,1238738,737921.0,30221.0,378179.0
133,세종특별자치시,경상북도,1711627,369726.0,827237.0,253905.0
134,세종특별자치시,경상남도,2135055,779731.0,790491.0,284272.0
135,세종특별자치시,제주특별자치도,374459,169493.0,68063.0,77861.0
136,경기도,서울특별시,6590646,2781345.0,1365285.0,1492767.0
137,경기도,부산광역시,2261633,872127.0,720484.0,378907.0
138,경기도,대구광역시,1581347,342620.0,714205.0,235757.0
139,경기도,인천광역시,1820091,747090.0,379191.0,428888.0
140,경기도,광주광역시,957321,583847.0,14882.0,287222.0
141,경기도,대전광역시,945897,404545.0,191376.0,218769.0
142,경기도,울산광역시,744960,282794.0,203602.0,128520.0
143,경기도,세종특별자치시,152801,77767.0,23211.0,32010.0
144,경기도,경기도,7916009,3319812.0,1637345.0,1807308.0
145,경기도,강원도,955885,324768.0,284909.0,206840.0
146,경기도,충청북도,975441,374806.0,255502.0,211454.0
147,경기도,충청남도,1240204,476661.0,306614.0,290216.0
148,경기도,전라북도,1205794,778747.0,40231.0,285467.0
149,경기도,전라남도,1238738,737921.0,30221.0,378179.0
150,경기도,경상북도,1711627,369726.0,827237.0,253905.0
151,경기도,경상남도,2135055,779731.0,790491.0,284272.0
152,경기도,제주특별자치도,374459,169493.0,68063.0,77861.0
153,강원도,서울특별시,6590646,2781345.0,1365285.0,1492767.0
154,강원도,부산광역시,2261633,872127.0,720484.0,378907.0
155,강원도,대구광역시,1581347,342620.0,714205.0,235757.0
156,강원도,인천광역시,1820091,747090.0,379191.0,428888.0
157,강원도,광주광역시,957321,583847.0,14882.0,287222.0
158,강원도,대전광역시,945897,404545.0,191376.0,218769.0
159,강원도,울산광역시,744960,282794.0,203602.0,128520.0
160,강원도,세종특별자치시,152801,77767.0,23211.0,32010.0
161,강원도,경기도,7916009,3319812.0,1637345.0,1807308.0
162,강원도,강원도,955885,324768.0,284909.0,206840.0
163,강원도,충청북도,975441,374806.0,255502.0,211454.0
164,강원도,충청남도,1240204,476661.0,306614.0,290216.0
165,강원도,전라북도,1205794,778747.0,40231.0,285467.0
166,강원도,전라남도,1238738,737921.0,30221.0,378179.0
167,강원도,경상북도,1711627,369726.0,827237.0,253905.0
168,강원도,경상남도,2135055,779731.0,790491.0,284272.0
169,강원도,제주특별자치도,374459,169493.0,68063.0,77861.0
170,충청북도,서울특별시,6590646,2781345.0,1365285.0,1492767.0
171,충청북도,부산광역시,2261633,872127.0,720484.0,378907.0
172,충청북도,대구광역시,1581347,342620.0,714205.0,235757.0
173,충청북도,인천광역시,1820091,747090.0,379191.0,428888.0
174,충청북도,광주광역시,957321,583847.0,14882.0,287222.0
175,충청북도,대전광역시,945897,404545.0,191376.0,218769.0
176,충청북도,울산광역시,744960,282794.0,203602.0,128520.0
177,충청북도,세종특별자치시,152801,77767.0,23211.0,32010.0
178,충청북도,경기도,7916009,3319812.0,1637345.0,1807308.0
179,충청북도,강원도,955885,324768.0,284909.0,206840.0
180,충청북도,충청북도,975441,374806.0,255502.0,211454.0
181,충청북도,충청남도,1240204,476661.0,306614.0,290216.0
182,충청북도,전라북도,1205794,778747.0,40231.0,285467.0
183,충청북도,전라남도,1238738,737921.0,30221.0,378179.0
184,충청북도,경상북도,1711627,369726.0,827237.0,253905.0
185,충청북도,경상남도,2135055,779731.0,790491.0,284272.0
186,충청북도,제주특별자치도,374459,169493.0,68063.0,77861.0
187,충청남도,서울특별시,6590646,2781345.0,1365285.0,1492767.0
188,충청남도,부산광역시,2261633,872127.0,720484.0,378907.0
189,충청남도,대구광역시,1581347,342620.0,714205.0,235757.0
190,충청남도,인천광역시,1820091,747090.0,379191.0,428888.0
191,충청남도,광주광역시,957321,583847.0,14882.0,287222.0
192,충청남도,대전광역시,945897,404545.0,191376.0,218769.0
193,충청남도,울산광역시,744960,282794.0,203602.0,128520.0
194,충청남도,세종특별자치시,152801,77767.0,23211.0,32010.0
195,충청남도,경기도,7916009,3319812.0,1637345.0,1807308.0
196,충청남도,강원도,955885,324768.0,284909.0,206840.0
197,충청남도,충청북도,975441,374806.0,255502.0,211454.0
198,충청남도,충청남도,1240204,476661.0,306614.0,290216.0
199,충청남도,전라북도,1205794,778747.0,40231.0,285467.0
200,충청남도,전라남도,1238738,737921.0,30221.0,378179.0
201,충청남도,경상북도,1711627,369726.0,827237.0,253905.0
202,충청남도,경상남도,2135055,779731.0,790491.0,284272.0
203,충청남도,제주특별자치도,374459,169493.0,68063.0,77861.0
204,전라북도,서울특별시,6590646,2781345.0,1365285.0,1492767.0
205,전라북도,부산광역시,2261633,872127.0,720484.0,378907.0
206,전라북도,대구광역시,1581347,342620.0,714205.0,235757.0
207,전라북도,인천광역시,1820091,747090.0,379191.0,428888.0
208,전라북도,광주광역시,957321,583847.0,14882.0,287222.0
209,전라북도,대전광역시,945897,404545.0,191376.0,218769.0
210,전라북도,울산광역시,744960,282794.0,203602.0,128520.0
211,전라북도,세종특별자치시,152801,77767.0,23211.0,32010.0
212,전라북도,경기도,7916009,3319812.0,1637345.0,1807308.0
213,전라북도,강원도,955885,324768.0,284909.0,206840.0
214,전라북도,충청북도,975441,374806.0,255502.0,211454.0
215,전라북도,충청남도,1240204,476661.0,306614.0,290216.0
216,전라북도,전라북도,1205794,778747.0,40231.0,285467.0
217,전라북도,전라남도,1238738,737921.0,30221.0,378179.0
218,전라북도,경상북도,1711627,369726.0,827237.0,253905.0
219,전라북도,경상남도,2135055,779731.0,790491.0,284272.0
220,전라북도,제주특별자치도,374459,169493.0,68063.0,77861.0
221,전라남도,서울특별시,6590646,2781345.0,1365285.0,1492767.0
222,전라남도,부산광역시,2261633,872127.0,720484.0,378907.0
223,전라남도,대구광역시,1581347,342620.0,714205.0,235757.0
224,전라남도,인천광역시,1820091,747090.0,379191.0,428888.0
225,전라남도,광주광역시,957321,583847.0,14882.0,287222.0
226,전라남도,대전광역시,945897,404545.0,191376.0,218769.0
227,전라남도,울산광역시,744960,282794.0,203602.0,128520.0
228,전라남도,세종특별자치시,152801,77767.0,23211.0,32010.0
229,전라남도,경기도,7916009,3319812.0,1637345.0,1807308.0
230,전라남도,강원도,955885,324768.0,284909.0,206840.0
231,전라남도,충청북도,975441,374806.0,255502.0,211454.0
232,전라남도,충청남도,1240204,476661.0,306614.0,290216.0
233,전라남도,전라북도,1205794,778747.0,40231.0,285467.0
234,전라남도,전라남도,1238738,737921.0,30221.0,378179.0
235,전라남도,경상북도,1711627,369726.0,827237.0,253905.0
236,전라남도,경상남도,2135055,779731.0,790491.0,284272.0
237,전라남도,제주특별자치도,374459,169493.0,68063.0,77861.0
